ticker,company,Latest Price,Price
GLD,NewGold Exchange Traded Fund," KES 1,915 ",1915
KURV,Kurwitu Ventures Limited," KES 1,500 ",1500
BAT,British American Tobacco Kenya, KES 372 ,372
KUKZ,Kakuzi Limited, KES 365 ,365
LIMT,Limuru Tea Company Limited, KES 360 ,360
JUB,Jubilee Holdings Limited, KES 280 ,280
EABL,East African Breweries Limited, KES 154 ,154
SCBK,Standard Chartered Bank Limited, KES 150 ,150
WTK,Williamson Tea Kenya Limited, KES 129 ,129
CFC,Stanbic Holdings Limited, KES 79 ,79
